,title,main_speaker,website_link,event
86,"Global warming's theme song, ""Manhattan in January""",Jill Sobule,"https://www.ted.com/talks/jill_sobule_sings_to_al_gore
",TED2006
87,Casting a spell on the cello,Caroline Lavelle,"https://www.ted.com/talks/caroline_lavelle_casts_a_spell_on_cello
",TED2005
88,The illusion of consciousness,Dan Dennett,"https://www.ted.com/talks/dan_dennett_on_our_consciousness
",TED2003
89,How to truly listen,Evelyn Glennie,"https://www.ted.com/talks/evelyn_glennie_shows_how_to_listen
",TED2003
90,Cradle to cradle design,William McDonough,"https://www.ted.com/talks/william_mcdonough_on_cradle_to_cradle_design
",TED2005
91,The electricity metaphor for the web's future,Jeff Bezos,"https://www.ted.com/talks/jeff_bezos_on_the_next_web_innovation
",TED2003
92,A mockingbird remix of TED2006,Rives,"https://www.ted.com/talks/rives_remixes_ted2006
",TED2006
93,"""Kiteflyer's Hill""",Eddi Reader,"https://www.ted.com/talks/eddi_reader_sings_kiteflyer_s_hill
",TED2003
94,"""What You've Got""",Eddi Reader,"https://www.ted.com/talks/eddi_reader_sings_about_what_you_ve_got
",TED2003
95,Why would God create a tsunami?,Tom Honey,"https://www.ted.com/talks/tom_honey_on_god_and_the_tsunami
",TED2005
96,Militant atheism,Richard Dawkins,"https://www.ted.com/talks/richard_dawkins_on_militant_atheism
",TED2002
97,A comic sendup of TED2006,Tom Rielly,"https://www.ted.com/talks/tom_rielly_delivers_a_comic_send_up_of_ted2006
",TED2006
98,"""La Vie en Rose""",Rachelle Garniez,"https://www.ted.com/talks/thomas_dolby_and_rachelle_garniez
",TED2004
99,Technology's long tail,Chris Anderson,"https://www.ted.com/talks/chris_anderson_of_wired_on_tech_s_long_tail
",TED2004
100,Cape Breton fiddling in reel time,Natalie MacMaster,"https://www.ted.com/talks/natalie_macmaster_fiddles_in_reel_time
",TED2002
101,The genesis of Google,Sergey Brin + Larry Page,"https://www.ted.com/talks/sergey_brin_and_larry_page_on_google
",TED2004
102,"""Black Men Ski""",Stew,"https://www.ted.com/talks/stew_says_black_men_ski
",TED2006
103,The ghastly tragedy of the suburbs,James Howard Kunstler,"https://www.ted.com/talks/james_howard_kunstler_dissects_suburbia
",TED2004
104,Human-centered design,David Kelley,"https://www.ted.com/talks/david_kelley_on_human_centered_design
",TED2002
105,What squatter cities can teach us,Stewart Brand,"https://www.ted.com/talks/stewart_brand_on_squatter_cities
",TED2006
106,How brain science will change computing,Jeff Hawkins,"https://www.ted.com/talks/jeff_hawkins_on_how_brain_science_will_change_computing
",TED2003
107,Swim with the giant sunfish,Tierney Thys,"https://www.ted.com/talks/tierney_thys_swims_with_the_giant_sunfish
",TED2003
108,How PhotoSynth can connect the world's images,Blaise Agüera y Arcas,"https://www.ted.com/talks/blaise_aguera_y_arcas_demos_photosynth
",TED2007
109,Salvation (and profit) in greentech,John Doerr,"https://www.ted.com/talks/john_doerr_sees_salvation_and_profit_in_greentech
",TED2007
110,Want to help Africa? Do business here,Ngozi Okonjo-Iweala,"https://www.ted.com/talks/ngozi_okonjo_iweala_on_doing_business_in_africa
",TED2007
111,Rethink the desktop with BumpTop,Anand Agarawala,"https://www.ted.com/talks/anand_agarawala_demos_his_bumptop_desktop
",TED2007
112,We can be Buddhas,Robert Thurman,"https://www.ted.com/talks/bob_thurman_says_we_can_be_buddhas
",TEDSalon 2006
113,A memorial at Ground Zero,David Rockwell,"https://www.ted.com/talks/david_rockwell_builds_at_ground_zero
",TED2002
114,Let's rethink America's military strategy,Thomas Barnett,"https://www.ted.com/talks/thomas_barnett_draws_a_new_map_for_peace
",TED2005
115,"A string quartet plays ""Blue Room""",Ethel,"https://www.ted.com/talks/ethel_performs_blue_room
",TED2006
116,Tour Microsoft's Virtual Earth,Stephen Lawler,"https://www.ted.com/talks/stephen_lawler_tours_microsoft_virtual_earth
",TED2007
117,New insights on poverty,Hans Rosling,"https://www.ted.com/talks/hans_rosling_reveals_new_insights_on_poverty
",TED2007
118,I'm going to the moon. Who's with me?,Bill Stone,"https://www.ted.com/talks/bill_stone_explores_the_earth_and_space
",TED2007
119,Dangerous memes,Dan Dennett,"https://www.ted.com/talks/dan_dennett_on_dangerous_memes
",TED2002
120,The potential of regenerative medicine,Alan Russell,"https://www.ted.com/talks/alan_russell_on_regenerating_our_bodies
",TED2006
121,The Web's secret stories,Jonathan Harris,"https://www.ted.com/talks/jonathan_harris_tells_the_web_s_secret_stories
",TED2007
122,Flip your thinking on AIDS in Africa,Emily Oster,"https://www.ted.com/talks/emily_oster_flips_our_thinking_on_aids_in_africa
",TED2007
