,name,description,duration,film_date,languages,num_speaker,published_date,url
1573,May El-Khalil: Making peace is a marathon,"In Lebanon there is one gunshot a year that isn’t part of a scene of routine violence: The opening sound of the Beirut International Marathon. In a moving talk, marathon founder May El-Khalil explains why she believed a 26.2-mile running event could bring together a country divided for decades by politics and religion, even if for one day a year.",616,1371859200,40,1,1376665207,"https://www.ted.com/talks/may_el_khalil_making_peace_is_a_marathon
"
1574,Adam Spencer: Why I fell in love with monster prime numbers,"They're millions of digits long, and it takes an army of mathematicians and machines to hunt them down -- what's not to love about monster primes? Adam Spencer, comedian and lifelong math geek, shares his passion for these odd numbers, and for the mysterious magic of math.",1037,1361923200,28,1,1378220866,"https://www.ted.com/talks/adam_spencer_why_i_fell_in_love_with_monster_prime_numbers
"
1575,Kelly McGonigal: How to make stress your friend,"Stress. It makes your heart pound, your breathing quicken and your forehead sweat. But while stress has been made into a public health enemy, new research suggests that stress may only be bad for you if you believe that to be the case. Psychologist Kelly McGonigal urges us to see stress as a positive, and introduces us to an unsung mechanism for stress reduction: reaching out to others.",868,1370908800,47,1,1378306783,"https://www.ted.com/talks/kelly_mcgonigal_how_to_make_stress_your_friend
"
1576,Chrystia Freeland: The rise of the new global super-rich,"Technology is advancing in leaps and bounds -- and so is economic inequality, says writer Chrystia Freeland. In an impassioned talk, she charts the rise of a new class of plutocrats (those who are extremely powerful because they are extremely wealthy), and suggests that globalization and new technology are actually fueling, rather than closing, the global income gap. Freeland lays out three problems with plutocracy … and one glimmer of hope. ",924,1371859200,29,1,1378393234,"https://www.ted.com/talks/chrystia_freeland_the_rise_of_the_new_global_super_rich
"
1577,Alexa Meade: Your body is my canvas,"Alexa Meade takes an innovative approach to art. Not for her a life of sketching and stretching canvases. Instead, she selects a topic and then paints it--literally. She covers everything in a scene--people, chairs, food, you name it--in a mask of paint that mimics what's below it. In this eye-opening talk Meade shows off photographs of some of the more outlandish results, and shares a new project involving people, paint and milk.",424,1371081600,34,1,1378480353,"https://www.ted.com/talks/alexa_meade
"
1578,"George Monbiot: For more wonder, rewild the world","Wolves were once native to the US' Yellowstone National Park -- until hunting wiped them out. But when, in 1995, the wolves began to come back (thanks to an aggressive management program), something interesting happened: the rest of the park began to find a new, more healthful balance. In a bold thought experiment, George Monbiot imagines a wilder world in which humans work to restore the complex, lost natural food chains that once surrounded us.",910,1373241600,26,1,1378739698,"https://www.ted.com/talks/george_monbiot_for_more_wonder_rewild_the_world
"
1579,Jake Barton: The museum of you,"A third of the world watched live as the World Trade Center collapsed on September 11, 2001; a third more heard about it within 24 hours. (Do you remember where you were?) So exhibits at the soon-to-open 9/11 Memorial Museum will reflect the diversity of the world's experiences of that day. In a moving talk, designer Jake Barton gives a peek at some of those installations, as well as several other projects that aim to make the observer an active participant in the exhibit.",938,1368662400,25,1,1378825147,"https://www.ted.com/talks/jake_barton_the_museum_of_you
"
1580,Ron McCallum: How technology allowed me to read,"Months after he was born, in 1948, Ron McCallum became blind. In this charming, moving talk, he shows how he reads -- and celebrates the progression of clever tools and adaptive computer technologies that make it possible. With their help, and the help of volunteers, he's become a lawyer, an academic, and, most of all, a voracious reader. Welcome to the blind reading revolution.",944,1373241600,31,1,1378913248,"https://www.ted.com/talks/ron_mccallum_how_technology_allowed_me_to_read
"
1581,Sonia Shah: 3 reasons we still haven’t gotten rid of malaria,"We’ve known how to cure malaria since the 1600s, so why does the disease still kill hundreds of thousands every year? It’s more than just a problem of medicine, says journalist Sonia Shah. A look into the history of malaria reveals three big-picture challenges to its eradication. Photos: Adam Nadel.",918,1371859200,28,1,1378998085,"https://www.ted.com/talks/sonia_shah_3_reasons_we_still_haven_t_gotten_rid_of_malaria
"
1582,Apollo Robbins: The art of misdirection,"Hailed as the greatest pickpocket in the world, Apollo Robbins studies the quirks of human behavior as he steals your watch. In a hilarious demonstration, Robbins samples the buffet of the TEDGlobal 2013 audience, showing how the flaws in our perception make it possible to swipe a wallet and leave it on its owner’s shoulder while they remain clueless.",527,1370995200,37,1,1379084559,"https://www.ted.com/talks/apollo_robbins_the_art_of_misdirection
"
1583,James Lyne: Everyday cybercrime -- and what you can do about it,"How do you pick up a malicious online virus, the kind of malware that snoops on your data and taps your bank account? Often, it's through simple things you do each day without thinking twice. James Lyne reminds us that it's not only the NSA that's watching us, but ever-more-sophisticated cybercriminals, who exploit both weak code and trusting human nature.",1046,1362009600,28,1,1379344658,"https://www.ted.com/talks/james_lyne_everyday_cybercrime_and_what_you_can_do_about_it
"
1584,Marla Spivak: Why bees are disappearing,"Honeybees have thrived for 50 million years, each colony 40 to 50,000 individuals coordinated in amazing harmony. So why, seven years ago, did colonies start dying en masse? Marla Spivak reveals four reasons which are interacting with tragic consequences. This is not simply a problem because bees pollinate a third of the world's crops. Could this incredible species be holding up a mirror for us?",957,1370995200,34,1,1379429848,"https://www.ted.com/talks/marla_spivak_why_bees_are_disappearing
"
1585,Eric Berlow and Sean Gourley: Mapping ideas worth spreading,"What do 24,000 ideas look like? Ecologist Eric Berlow and physicist Sean Gourley apply algorithms to the entire archive of TEDx Talks, taking us on a stimulating visual tour to show how ideas connect globally.",475,1362009600,32,2,1379516494,"https://www.ted.com/talks/eric_berlow_and_sean_gourley_mapping_ideas_worth_spreading
"
1586,Andras Forgacs: Leather and meat without killing animals,"By 2050, it will take 100 billion land animals to provide the world's population with meat, dairy, eggs and leather goods. Maintaining this herd will take a huge, potentially unsustainable toll on the planet. What if there were a different way? In this eye-opening talk, tissue engineering advocate Andras Forgacs argues that biofabricating meat and leather is a civilized way to move past killing animals for hamburgers and handbags.",542,1371081600,39,1,1379602886,"https://www.ted.com/talks/andras_forgacs_leather_and_meat_without_killing_animals
"
1587,Benjamin Barber: Why mayors should rule the world,"It often seems like federal-level politicians care more about creating gridlock than solving the world's problems. So who's actually getting bold things done? City mayors. So, political theorist Benjamin Barber suggests: Let's give them more control over global policy. Barber shows how these ""urban homeboys"" are solving pressing problems on their own turf -- and maybe in the world.",1085,1371772800,24,1,1379689237,"https://www.ted.com/talks/benjamin_barber_why_mayors_should_rule_the_world
"
1588,Elizabeth Loftus: How reliable is your memory?,"Psychologist Elizabeth Loftus studies memories. More precisely, she studies false memories, when people either remember things that didn't happen or remember them differently from the way they really were. It's more common than you might think, and Loftus shares some startling stories and statistics --  and raises some important ethical questions.",1056,1370908800,32,1,1379948415,"https://www.ted.com/talks/elizabeth_loftus_the_fiction_of_memory
"
1589,Stuart Firestein: The pursuit of ignorance,"What does real scientific work look like? As neuroscientist Stuart Firestein jokes: It looks a lot less like the scientific method and a lot more like ""farting around ... in the dark."" In this witty talk, Firestein gets to the heart of science as it is really practiced and suggests that we should value what we don't know -- or ""high-quality ignorance"" -- just as much as what we know.",1113,1362009600,29,1,1380035036,"https://www.ted.com/talks/stuart_firestein_the_pursuit_of_ignorance
"
1590,Onora O'Neill: What we don't understand about trust,"Trust is on the decline, and we need to rebuild it. That's a commonly heard suggestion for making a better world ... but, says philosopher Onora O'Neill, we don't really understand what we're suggesting. She flips the question, showing us that our three most common ideas about trust are actually misdirected.",590,1372118400,29,1,1380121621,"https://www.ted.com/talks/onora_o_neill_what_we_don_t_understand_about_trust
"
1591,James Flynn: Why our IQ levels are higher than our grandparents',"It's called the ""Flynn effect"" -- the fact that each generation scores higher on an IQ test than the generation before it. Are we actually getting smarter, or just thinking differently? In this fast-paced spin through the cognitive history of the 20th century, moral philosopher James Flynn suggests that changes in the way we think have had surprising (and not always positive) consequences.",1120,1362096000,34,1,1380208246,"https://www.ted.com/talks/james_flynn_why_our_iq_levels_are_higher_than_our_grandparents
"
1592,Kevin Breel: Confessions of a depressed comic,"Kevin Breel didn't look like a depressed kid: team captain, at every party, funny and confident. But he tells the story of the night he realized that -- to save his own life -- he needed to say four simple words.",660,1367712000,34,1,1380294807,"https://www.ted.com/talks/kevin_breel_confessions_of_a_depressed_comic
"
1593,Malcolm Gladwell: The unheard story of David and Goliath,"It's a classic underdog tale: David, a young shepherd armed only with a sling, beats Goliath, the mighty warrior. The story has transcended its biblical origins to become a common shorthand for unlikely victory. But, asks Malcolm Gladwell, is that really what the David and Goliath story is about?",940,1379548800,35,1,1380553694,"https://www.ted.com/talks/malcolm_gladwell_the_unheard_story_of_david_and_goliath
"
1594,Kelli Swazey: Life that doesn't end with death,"In Tana Toraja, weddings and births aren't the social gatherings that knit society together. In this part of Indonesia, big, raucous funerals are at the center of social life. Anthropologist Kelli Swazey takes a look at this culture, in which the bodies of dead relatives are cared for years after they have passed away -- because relationships with loved ones don't simply end when breathing does.",834,1366156800,26,1,1380640518,"https://www.ted.com/talks/kelli_swazey_life_that_doesn_t_end_with_death
"
1595,Amy Webb: How I hacked online dating,"Amy Webb was having no luck with online dating. The dates she liked didn't write her back, and her own profile attracted crickets (and worse). So, as any fan of data would do: she started making a spreadsheet. Hear the story of how she went on to hack her online dating life -- with frustrating, funny and life-changing results.",1047,1365638400,32,1,1380727278,"https://www.ted.com/talks/amy_webb_how_i_hacked_online_dating
"
1596,Fabian Oefner: Psychedelic science,"Swiss artist and photographer Fabian Oefner is on a mission to make eye-catching art from everyday science. In this charming talk, he shows off some recent psychedelic images, including photographs of crystals as they interact with soundwaves. And, in a live demo, he shows what really happens when you mix paint with magnetic liquid--or when you set fire to whiskey.",725,1370995200,31,1,1380812403,"https://www.ted.com/talks/fabian_oefner_psychedelic_science
"
1597,Jason Pontin: Can technology solve our big problems?,"In 1969, Buzz Aldrin’s historical step onto the moon leapt mankind into an era of technological possibility. The awesome power of technology was to be used to solve all of our big problems. Fast forward to present day, and what's happened? Are mobile apps all we have to show for ourselves? Journalist Jason Pontin looks closely at the challenges we face to using technology effectively ... for problems that really matter.",603,1362009600,29,1,1380899085,"https://www.ted.com/talks/jason_pontin_can_technology_solve_our_big_problems
"
1598,Michael Porter: The case for letting business solve social problems,"Why do we turn to nonprofits, NGOs and governments to solve society's biggest problems? Michael Porter admits he's biased, as a business school professor, but he wants you to hear his case for letting business try to solve massive problems like climate change and access to water. Why? Because when business solves a problem, it makes a profit -- which lets that solution grow.",988,1371168000,29,1,1381158304,"https://www.ted.com/talks/michael_porter_why_business_can_be_good_at_solving_social_problems
"
1599,Michael Sandel: Why we shouldn't trust markets with our civic life,"In the past three decades, says Michael Sandel, the US has drifted from a market economy to a market society; it's fair to say that an American's experience of shared civic life depends on how much money they have. (Three key examples: access to education, access to justice, political influence.) In a talk and audience discussion, Sandel asks us to think honestly on this question: In our current democracy, is too much for sale?",877,1371168000,31,1,1381158492,"https://www.ted.com/talks/michael_sandel_why_we_shouldn_t_trust_markets_with_our_civic_life
"
1600,Janette Sadik-Khan: New York's streets? Not so mean any more,"In this funny and thought-provoking talk, Janette Sadik-Khan, transportation commissioner of New York City, shares projects that have reshaped street life in the 5 boroughs, including pedestrian zones in Times Square, high-performance buses and a 6,000-cycle-strong bike share. Her mantra: Do bold experiments that are cheap to try out.",842,1379635200,25,1,1381244676,"https://www.ted.com/talks/janette_sadik_khan_new_york_s_streets_not_so_mean_any_more
"
1601,Trita Parsi: Iran and Israel: Peace is possible,"Iran and Israel: two nations with tense relations that seem existentially at odds. But for all their antagonistic rhetoric, there is a recent hidden history of collaboration, even friendship. In an informative talk, Trita Parsi shows how an unlikely strategic alliance in the past could mean peace in the future for these two feuding countries.",645,1372204800,29,1,1381331315,"https://www.ted.com/talks/trita_parsi_iran_and_israel_peace_is_possible
"
1602,Gary Slutkin: Let's treat violence like a contagious disease,"Dr. Gary Slutkin spent a decade fighting tuberculosis, cholera and AIDS epidemics in Africa. When he returned to the US, he thought he'd escape brutal epidemic deaths. But he began to look more carefully at gun violence -- whose spread follows the same pattern as an infectious disease. His conclusion: We've reversed the impact of so many diseases, says Slutkin, and we can do the same with violence. A mind-flipping look at a problem that too many communities have accepted as a given. ",848,1366156800,26,1,1381417240,"https://www.ted.com/talks/gary_slutkin_let_s_treat_violence_like_a_contagious_disease
"
1603,Andrew Fitzgerald: Adventures in Twitter fiction,"In the 1930s, broadcast radio introduced an entirely new form of storytelling; today, micro-blogging platforms like Twitter are changing the scene again. Andrew Fitzgerald takes a look at the (aptly) short but fascinating history of new forms of creative experimentation in fiction and storytelling.",715,1373846400,25,1,1381503543,"https://www.ted.com/talks/andrew_fitzgerald_adventures_in_twitter_fiction
"
1604,Jeff Speck: The walkable city,"How do we solve the problem of the suburbs? Urbanist Jeff Speck shows how we can free ourselves from dependence on the car -- which he calls ""a gas-belching, time-wasting, life-threatening prosthetic device"" -- by making our cities more walkable and more pleasant for more people.",1016,1379635200,26,1,1381763957,"https://www.ted.com/talks/jeff_speck_the_walkable_city
"
1605,Amanda Bennett: We need a heroic narrative for death,"Amanda Bennett and her husband were passionate and full of life all throughout their lives together -- and up until the final days, too. Bennett gives a sweet yet powerful talk on why, for the loved ones of the dying, having hope for a happy ending shouldn't warrant a diagnosis of ""denial."" She calls for a more heroic narrative for death -- to match the ones we have in life.",924,1366243200,24,1,1381849202,"https://www.ted.com/talks/amanda_bennett_a_heroic_narrative_for_letting_go
"
1606,Iwan Baan: Ingenious homes in unexpected places,"In the center of Caracas, Venezuela, stands the 45-story ""Tower of David,"" an unfinished, abandoned skyscraper. But about eight years ago, people started moving in. Photographer Iwan Baan shows how people build homes in unlikely places, touring us through the family apartments of Torre David, a city on the water in Nigeria, and an underground village in China. Glorious images celebrate humanity's ability to survive and make a home -- anywhere.",1018,1380326400,28,1,1381936502,"https://www.ted.com/talks/iwan_baan_ingenious_homes_in_unexpected_places
"
1607,Alessandro Acquisti: What will a future without secrets look like?,"The line between public and private has blurred in the past decade, both online and in real life, and Alessandro Acquisti is here to explain what this means and why it matters. In this thought-provoking, slightly chilling talk, he shares details of recent and ongoing research -- including a project that shows how easy it is to match a photograph of a stranger with their sensitive personal information.",900,1371168000,27,1,1382022014,"https://www.ted.com/talks/alessandro_acquisti_why_privacy_matters
"
1608,Hetain Patel: Who am I? Think again,"How do we decide who we are? Hetain Patel's surprising performance plays with identity, language and accent -- and challenges you to think deeper than surface appearances. A delightful meditation on self, with performer Yuyu Rau, and inspired by Bruce Lee.",546,1370908800,36,2,1382108360,"https://www.ted.com/talks/hetain_patel_who_am_i_think_again
"
